class,threshold,precision,recall,f1,TP,FP,FN,TN,support
Atelectasis,0.3,0.0825,1.0,0.1524,63,701,0,4,63
Cardiomegaly,0.35,0.0602,1.0,0.1135,45,703,0,20,45
Effusion,0.3,0.0418,1.0,0.0803,32,733,0,3,32
Pneumonia,0.3,0.0316,0.1667,0.0531,3,92,15,658,18
Emphysema,0.3,0.0402,0.8889,0.0769,24,573,3,168,27
Fibrosis,0.2,0.0067,0.8333,0.0133,5,740,1,22,6
Infiltration,0.35,0.0299,0.0952,0.0455,2,65,19,682,21
Mass,0.2,0.0275,0.6,0.0526,3,106,2,657,5
Nodule,0.3,0.0412,0.9688,0.0791,31,721,1,15,32
Hernia,0.25,0.0205,0.9333,0.0402,14,668,1,85,15
Fracture,0.3,0.0108,0.0588,0.0182,1,92,16,659,17
Opacity,0.35,0.1281,1.0,0.2271,98,667,0,3,98
Granuloma,0.4,0.113,0.9036,0.2008,75,589,8,96,83
Calcinosis,0.2,0.1471,1.0,0.2565,113,655,0,0,113
Scoliosis,0.3,0.053,0.2593,0.0881,7,125,20,616,27
Atherosclerosis,0.3,0.0344,0.9259,0.0663,25,702,2,39,27
Normal,0.55,0.5519,0.9906,0.7089,420,341,4,3,424
